127.0.0.1, 2016-08-23 10:42:43, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.016372
127.0.0.1, 2016-08-23 10:42:43, GET, /MensajeriaMasiva/static/js/start/index.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2016-08-23 10:42:48, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.011529
127.0.0.1, 2016-08-23 10:50:04, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 1.252334
127.0.0.1, 2016-08-23 10:50:05, GET, /MensajeriaMasiva/static/js/start/index.js, HTTP/1.1, 200, 0.000423
127.0.0.1, 2016-08-23 10:50:14, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.092254
127.0.0.1, 2016-08-23 10:56:34, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.635042
127.0.0.1, 2016-08-23 10:56:36, GET, /MensajeriaMasiva/static/js/start/index.js, HTTP/1.1, 304, 0.031465
127.0.0.1, 2016-08-23 10:57:11, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.020084
127.0.0.1, 2016-08-23 10:57:11, GET, /MensajeriaMasiva/static/js/start/index.js, HTTP/1.1, 200, 0.000468
127.0.0.1, 2016-08-23 10:57:16, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.073438
127.0.0.1, 2016-08-23 10:59:56, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 500, 0.668060
127.0.0.1, 2016-08-23 10:59:59, GET, /admin/default/ticket/MensajeriaMasiva/127.0.0.1.2016-08-23.10-59-56.273f1772-4899-4245-9b20-e503b17ce9f9, HTTP/1.1, 200, 0.740476
127.0.0.1, 2016-08-23 11:00:00, GET, /admin/static/_2.14.6/images/help.png, HTTP/1.1, 200, 0.104314
127.0.0.1, 2016-08-23 11:00:36, GET, /admin/default/ticket/MensajeriaMasiva/127.0.0.1.2016-08-23.10-59-56.273f1772-4899-4245-9b20-e503b17ce9f9, HTTP/1.1, 200, 0.095391
127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 304, 0.015036
127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 304, 0.022564
127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 304, 0.007407
127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 304, 0.034972
127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.015305
127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.008772
127.0.0.1, 2016-08-23 11:00:37, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 304, 0.003639
